2016-08-29 05:10:39.000,,
2016-08-29 05:10:39.000,us,sy
2016-08-29 05:10:39.000,1,0
2016-08-29 05:10:40.000,29,6
2016-08-29 05:10:41.000,25,4
2016-08-29 05:10:42.000,31,6
2016-08-29 05:10:43.000,24,4
2016-08-29 05:10:44.000,55,7
2016-08-29 05:10:45.000,80,18
2016-08-29 05:10:46.000,56,19
2016-08-29 05:10:47.000,54,14
2016-08-29 05:10:48.000,45,15
2016-08-29 05:10:49.000,50,13
2016-08-29 05:10:50.000,43,13
2016-08-29 05:10:51.000,44,14
2016-08-29 05:10:52.000,29,14
2016-08-29 05:10:53.000,31,13
2016-08-29 05:10:54.000,43,15
2016-08-29 05:10:55.000,44,14
2016-08-29 05:10:56.000,50,12
2016-08-29 05:10:57.000,54,13
2016-08-29 05:10:58.000,34,14
2016-08-29 05:10:59.000,30,13
2016-08-29 05:11:00.000,35,14
2016-08-29 05:11:01.000,31,14
2016-08-29 05:11:02.000,33,13
2016-08-29 05:11:03.000,35,14
2016-08-29 05:11:04.000,43,13
2016-08-29 05:11:05.000,37,13
2016-08-29 05:11:06.000,39,13
2016-08-29 05:11:07.000,40,13
2016-08-29 05:11:08.000,38,13
2016-08-29 05:11:09.000,30,13
2016-08-29 05:11:10.000,36,14
2016-08-29 05:11:11.000,34,13
2016-08-29 05:11:12.000,41,14
2016-08-29 05:11:13.000,44,15
2016-08-29 05:11:14.000,40,14
2016-08-29 05:11:15.000,32,13
2016-08-29 05:11:16.000,29,13
2016-08-29 05:11:17.000,34,15
2016-08-29 05:11:18.000,43,14
2016-08-29 05:11:19.000,39,14
2016-08-29 05:11:20.000,39,14
2016-08-29 05:11:21.000,39,13
2016-08-29 05:11:22.000,35,16
2016-08-29 05:11:23.000,46,13
2016-08-29 05:11:24.000,36,11
2016-08-29 05:11:25.000,30,12
2016-08-29 05:11:26.000,30,12
2016-08-29 05:11:27.000,29,11
2016-08-29 05:11:28.000,31,11
2016-08-29 05:11:29.000,28,12
2016-08-29 05:11:30.000,27,12
2016-08-29 05:11:31.000,28,12
2016-08-29 05:11:32.000,37,11
2016-08-29 05:11:33.000,29,12
2016-08-29 05:11:34.000,31,12
2016-08-29 05:11:35.000,29,12
2016-08-29 05:11:36.000,33,11
2016-08-29 05:11:37.000,29,12
2016-08-29 05:11:38.000,28,11
2016-08-29 05:11:39.000,29,11
2016-08-29 05:11:40.000,29,12
2016-08-29 05:11:41.000,28,12
2016-08-29 05:11:42.000,36,12
2016-08-29 05:11:43.000,39,12
2016-08-29 05:11:44.000,39,11
2016-08-29 05:11:45.000,38,11
2016-08-29 05:11:46.000,38,11
2016-08-29 05:11:47.000,37,13
2016-08-29 05:11:48.000,30,11
2016-08-29 05:11:49.000,31,12
2016-08-29 05:11:50.000,30,12
2016-08-29 05:11:51.000,27,12
2016-08-29 05:11:52.000,29,12
2016-08-29 05:11:53.000,27,12
2016-08-29 05:11:54.000,28,12
2016-08-29 05:11:55.000,27,12
2016-08-29 05:11:56.000,28,11
2016-08-29 05:11:57.000,29,12
2016-08-29 05:11:58.000,28,12
2016-08-29 05:11:59.000,29,11
2016-08-29 05:12:00.000,28,11
2016-08-29 05:12:01.000,36,12
2016-08-29 05:12:02.000,28,11
2016-08-29 05:12:03.000,29,12
2016-08-29 05:12:04.000,28,11
2016-08-29 05:12:05.000,28,12
2016-08-29 05:12:06.000,28,11
2016-08-29 05:12:07.000,34,13
2016-08-29 05:12:08.000,28,11
2016-08-29 05:12:09.000,28,11
2016-08-29 05:12:10.000,36,12
2016-08-29 05:12:11.000,28,11
2016-08-29 05:12:12.000,28,11
2016-08-29 05:12:13.000,29,12
2016-08-29 05:12:14.000,30,11
2016-08-29 05:12:15.000,27,11
2016-08-29 05:12:16.000,28,12
2016-08-29 05:12:17.000,28,12
2016-08-29 05:12:18.000,33,12
2016-08-29 05:12:19.000,31,12
2016-08-29 05:12:20.000,28,12
2016-08-29 05:12:21.000,33,11
2016-08-29 05:12:22.000,30,11
